area,disruption,greatest_sector,totaldisrupt,dis,totalEmployed
4100003,0.8549749956889119,"Switchboard operators, including answering service",,49580.0,57990.0
4100004,0.9187554904831625,Postmasters and mail superintendents,,62751.0,68300.0
0100001,1.7824957211762875,Manufactured building and mobile home installers,,114561.0,64270.0
0100002,2.5529529047782744,"Switchboard operators, including answering service",,371327.0,145450.0
0100003,1.4397841513897103,Sewing machine operators,,97387.0,67640.0
25980,0.5576877234803337,Management occupations,,9358.0,16780.0
4800006,0.8330298294489366,"Switchboard operators, including answering service",,122597.0,147170.0
72850,0.8633588745132521,Management occupations,,68732.0,79610.0
25860,2.558173497543576,Management occupations,,380119.0,148590.0
4800004,0.9946306641837368,"Switchboard operators, including answering service",,192282.0,193320.0
34580,0.687634168157424,Management occupations,,30751.0,44720.0
7200002,0.5993799822852082,Sewing machine operators,,6767.0,11290.0
14020,0.7179243884358785,Management occupations,,48424.0,67450.0
2300001,0.9134259922625018,Sewing machine operators,,63748.0,69790.0
20940,2.2626275746891817,Management occupations,,121933.0,53890.0
45300,0.8897544159273842,Management occupations,,1125308.0,1264740.0
37460,0.5389594378005178,Management occupations,,43715.0,81110.0
21300,0.8205213533000555,Management occupations,,29588.0,36060.0
29540,1.2434468920765027,Management occupations,,291265.0,234240.0
49700,1.1685019841269841,Management occupations,,47114.0,40320.0
1300004,1.3539494895217625,"Switchboard operators, including answering service",,251970.0,186100.0
36540,1.0013303815277663,Management occupations,,483963.0,483320.0
41180,1.0461311426659727,Management occupations,,1407151.0,1345100.0
1200001,0.5350421585160202,Postal service clerks,,15864.0,29650.0
1200002,0.8403443198550232,Postmasters and mail superintendents,,74194.0,88290.0
1200003,0.8533210574773116,"Switchboard operators, including answering service",,64878.0,76030.0
48864,0.8559515570934256,Management occupations,,296844.0,346800.0
12220,1.0544679273266593,Management occupations,,56878.0,53940.0
31420,0.8449090165610305,Management occupations,,82649.0,97820.0
24420,0.6129805704836709,Management occupations,,14828.0,24190.0
36420,1.0264095639573179,Management occupations,,623318.0,607280.0
27860,0.9819095477386934,Management occupations,,52758.0,53730.0
33340,1.3163786644466908,Management occupations,,1106877.0,840850.0
4500004,1.085922421948912,Postal service clerks,,57391.0,52850.0
2800004,1.0406228277492007,"Switchboard operators, including answering service",,74852.0,71930.0
23420,2.063359279217632,Management occupations,,723682.0,350730.0
0900001,1.1868069967388082,Sewing machine operators,,40031.0,33730.0
22520,1.4036835181356888,Management occupations,,74690.0,53210.0
34940,0.598052559183378,Management occupations,,82609.0,138130.0
2700004,1.564916797488226,"Switchboard operators, including answering service",,249213.0,159250.0
3500003,0.6776822429906542,Postal service clerks,,18128.0,26750.0
2700001,1.2967580249546764,"Postal service mail sorters, processors, and processing machine operators",,243194.0,187540.0
24140,0.6304433497536945,Management occupations,,25596.0,40600.0
27100,1.2780409406191846,Management occupations,,75545.0,59110.0
11244,1.1960527915144614,Management occupations,,1869586.0,1563130.0
4500001,1.0386358822283415,Sewing machine operators,,49034.0,47210.0
4500002,1.8210612142498745,"Switchboard operators, including answering service",,145175.0,79720.0
19740,0.7759135895787562,Management occupations,,1098360.0,1415570.0
3200002,0.7900258762644083,Postal service clerks,,33584.0,42510.0
4500003,1.1856323107481792,Postal service clerks,,53721.0,45310.0
73104,0.7006592902597031,Management occupations,,122216.0,174430.0
75404,1.1985761820010834,Management occupations,,154892.0,129230.0
4900001,0.32192529608259945,Postal service clerks,,10601.0,32930.0
30620,0.8856786530866764,Management occupations,,42610.0,48110.0
4900003,0.505222270176953,Postal service clerks,,11706.0,23170.0
4900004,0.4768997668997669,Postal service clerks,,20459.0,42900.0
29180,0.8545222929936306,Management occupations,,174408.0,204100.0
70900,0.6803061524874889,Management occupations,,69330.0,101910.0
1300003,1.1895589988081048,"Switchboard operators, including answering service",,99804.0,83900.0
1300002,1.5956242661448141,"Switchboard operators, including answering service",,203841.0,127750.0
1300001,2.215553314847492,"Switchboard operators, including answering service",,351564.0,158680.0
20260,0.6896661620588,Management occupations,,86560.0,125510.0
22744,0.7610975319319621,Management occupations,,607196.0,797790.0
3800004,1.0600079904115063,Postal service clerks,,26532.0,25030.0
23900,1.0179122915379863,Management occupations,,32960.0,32380.0
3500002,0.6929193983802545,"Switchboard operators, including answering service",,89837.0,129650.0
3800001,0.5531705819130969,Postal service clerks,,36028.0,65130.0
3800002,0.7550344595730375,Postal service clerks,,44917.0,59490.0
3800003,0.8301363073110285,Postmasters and mail superintendents,,33496.0,40350.0
2500004,0.9985436893203884,Postal service mail carriers,,6171.0,6180.0
2500002,0.42188888888888887,"Bookkeeping, accounting, and auditing clerks",,3797.0,9000.0
2500003,0.7427180831149383,Postal service clerks,,19838.0,26710.0
2500001,0.43745684695051784,Postal service clerks,,7603.0,17380.0
33220,0.5155976676384839,Management occupations,,17685.0,34300.0
24340,1.5256060249470464,Management occupations,,842699.0,552370.0
25260,1.5371236626026374,Management occupations,,61777.0,40190.0
40220,0.9735518840201136,Management occupations,,149080.0,153130.0
42680,0.8565298507462686,Management occupations,,41319.0,48240.0
39340,0.7654296252447521,Management occupations,,168096.0,219610.0
2600004,1.616457241329791,"Switchboard operators, including answering service",,450248.0,278540.0
36260,1.0135161807640116,Management occupations,,246477.0,243190.0
41700,0.8209087747294339,Management occupations,,802504.0,977580.0
2600001,1.0315958873491282,"Postal service mail sorters, processors, and processing machine operators",,115384.0,111850.0
25500,0.9420958279009126,Management occupations,,57807.0,61360.0
75700,0.8749325571489422,Management occupations,,246486.0,281720.0
39580,0.7516451954246939,Management occupations,,447507.0,595370.0
15680,0.46945454545454546,Management occupations,,20656.0,44000.0
39460,0.40488294314381273,Management occupations,,18159.0,44850.0
28420,0.7462907735321529,Management occupations,,80077.0,107300.0
2800001,2.0022715381932334,"Switchboard operators, including answering service",,459241.0,229360.0
34980,1.1102929732455036,Management occupations,,1012998.0,912370.0
11460,0.6208730271576852,Management occupations,,130998.0,210990.0
11700,1.0093350590519334,Management occupations,,187161.0,185430.0
49740,2.558627515671396,Management occupations,,155104.0,60620.0
13380,0.8005233053425824,Management occupations,,65779.0,82170.0
45780,1.2096497640725725,Management occupations,,364032.0,300940.0
46520,0.704467027027027,Management occupations,,325816.0,462500.0
45220,0.6130924820275375,Management occupations,,100633.0,164140.0
40420,1.2811395819285232,Management occupations,,189993.0,148300.0
24780,0.6823935091277891,Management occupations,,50463.0,73950.0
3900002,1.9496276112624886,Photographic process workers and processing machine operators,,643962.0,330300.0
3900001,2.4213726575472445,"Switchboard operators, including answering service",,612462.0,252940.0
13220,0.48671784135845547,Management occupations,,20924.0,42990.0
3000004,1.0249241379310345,Sewing machine operators,,74307.0,72500.0
39820,0.7751072253381722,Management occupations,,46987.0,60620.0
31180,0.6949586423274386,Management occupations,,97461.0,140240.0
3000001,0.6116906474820144,Postmasters and mail superintendents,,20406.0,33360.0
49620,1.2831847062757775,Management occupations,,230229.0,179420.0
3000003,0.7379529946929492,Sewing machine operators,,97336.0,131900.0
14500,0.737791522442263,Management occupations,,130021.0,176230.0
33124,0.8448992644707387,Management occupations,,951120.0,1125720.0
16974,0.9918828670367724,Management occupations,,3609065.0,3638600.0
0200001,0.7392552586696987,Postal service clerks,,26007.0,35180.0
0200002,0.76,"Switchboard operators, including answering service",,56012.0,73700.0
12260,1.0161204357379963,Management occupations,,217338.0,213890.0
36740,0.6990981981057887,Management occupations,,817861.0,1169880.0
42200,1.3800394931709725,Management occupations,,251595.0,182310.0
41884,0.785069298023671,Management occupations,,837771.0,1067130.0
23460,1.185710314150681,Management occupations,,42650.0,35970.0
45820,0.7815320232896652,Management occupations,,85906.0,109920.0
47020,0.5718269230769231,Management occupations,,23788.0,41600.0
34820,0.6106691133101776,Management occupations,,93182.0,152590.0
20740,1.1128167462357694,Management occupations,,90906.0,81690.0
20500,0.7154610655737705,Management occupations,,209487.0,292800.0
72400,0.8743629280960883,Management occupations,,107739.0,123220.0
48660,0.7027258150721539,Management occupations,,39444.0,56130.0
2800003,1.2223478088439421,"Switchboard operators, including answering service",,184929.0,151290.0
2800002,1.188770325203252,"Switchboard operators, including answering service",,116975.0,98400.0
13140,1.0612229817106964,Management occupations,,172332.0,162390.0
75550,1.0921200750469042,Management occupations,,69852.0,63960.0
37340,0.7477203647416414,Management occupations,,150060.0,200690.0
48260,0.9650765306122449,Management occupations,,37831.0,39200.0
32420,0.9609722222222222,Management occupations,,27676.0,28800.0
42100,0.8571090557109056,Management occupations,,79694.0,92980.0
27780,0.7064665554937929,Management occupations,,38128.0,53970.0
41100,0.4515030725793058,Management occupations,,27185.0,60210.0
24580,1.2185217696629214,Management occupations,,208221.0,170880.0
22020,0.7466025080198309,Management occupations,,102404.0,137160.0
36780,1.745254680017414,Management occupations,,160354.0,91880.0
74854,0.4845490561640643,Management occupations,,20792.0,42910.0
10540,1.1479718640093786,Management occupations,,48961.0,42650.0
38060,0.8893235087429209,Management occupations,,1721090.0,1935280.0
18580,0.7272311582118457,Management occupations,,135185.0,185890.0
27900,0.9067021691128718,Management occupations,,69807.0,76990.0
33780,0.7226160122386538,Management occupations,,28341.0,39220.0
5600001,0.56409997475385,Postal service clerks,,22344.0,39610.0
3700003,1.74587548027915,"Switchboard operators, including answering service",,445303.0,255060.0
10180,0.6935272045028142,Management occupations,,44358.0,63960.0
76600,0.6901679841897234,Management occupations,,27938.0,40480.0
13740,0.8170104287369641,Management occupations,,70508.0,86300.0
20020,0.9917756674431105,Management occupations,,55351.0,55810.0
38660,0.7994708146247594,Management occupations,,49855.0,62360.0
2400001,0.7324433142614961,"Postal service mail sorters, processors, and processing machine operators",,34564.0,47190.0
2400002,0.4999059266227658,Postal service mail carriers,,5314.0,10630.0
44100,0.7101766585228341,Management occupations,,75577.0,106420.0
11020,0.8311822405782138,Management occupations,,48300.0,58110.0
3600001,1.1022926219258025,"Switchboard operators, including answering service",,158664.0,143940.0
19500,0.7153277172796384,Management occupations,,34815.0,48670.0
21820,0.46440129449838186,Management occupations,,17220.0,37080.0
29940,0.5291111111111111,Management occupations,,26191.0,49500.0
5600004,0.6511476264997392,Sewing machine operators,,24965.0,38340.0
39540,1.2902013422818792,Management occupations,,96120.0,74500.0
41620,0.9627290522938345,Management occupations,,654107.0,679430.0
3700004,0.8472734499205088,"Switchboard operators, including answering service",,106587.0,125800.0
36220,0.7497719582168604,Management occupations,,50962.0,67970.0
41740,0.9442888863256244,Management occupations,,1309842.0,1387120.0
25420,0.9190335923790424,Management occupations,,293282.0,319120.0
4200001,1.3711977247753862,"Switchboard operators, including answering service",,212138.0,154710.0
33874,0.9395925987469088,Management occupations,,961269.0,1023070.0
4200002,1.3615122404710258,Sewing machine operators,,219680.0,161350.0
46060,0.7109233386318637,Management occupations,,254930.0,358590.0
17420,0.5186869770435529,Management occupations,,24176.0,46610.0
42034,0.5811144956101058,Management occupations,,64864.0,111620.0
22140,0.666807738814994,Management occupations,,33087.0,49620.0
26980,0.5729228732207878,Management occupations,,51924.0,90630.0
16060,0.7380441035474593,General and operations managers,,38489.0,52150.0
5600002,0.662716334267348,"Switchboard operators, including answering service",,40207.0,60670.0
3700002,0.8858789021579719,"Switchboard operators, including answering service",,84566.0,95460.0
46140,1.26961841224405,Management occupations,,549986.0,433190.0
43524,0.5802727992018989,Management occupations,,337359.0,581380.0
49660,1.310117592806087,Management occupations,,284099.0,216850.0
1900002,1.2750991276764472,"Switchboard operators, including answering service",,176869.0,138710.0
39900,0.9510939632051946,Management occupations,,202136.0,212530.0
40380,1.0702103145931379,Management occupations,,548044.0,512090.0
47664,1.3643368700265253,Management occupations,,1645936.0,1206400.0
31020,0.9163682148852826,Management occupations,,32751.0,35740.0
40660,1.071440329218107,Management occupations,,39054.0,36450.0
48900,0.5139829476248478,Management occupations,,63297.0,123150.0
5100004,1.0478592557994706,Sewing machine operators,,67304.0,64230.0
23104,1.0131367210205893,Management occupations,,993492.0,980610.0
5100001,1.3727810650887573,"Switchboard operators, including answering service",,171680.0,125060.0
5100003,0.909318779058015,Postmasters and mail superintendents,,44984.0,49470.0
5100002,1.1069096642552403,"Switchboard operators, including answering service",,119347.0,107820.0
26820,0.9256932200673185,Management occupations,,57754.0,62390.0
45460,1.201041352248717,Management occupations,,79581.0,66260.0
12100,0.6062326319968241,Management occupations,,76355.0,125950.0
14540,1.1904913936701833,Management occupations,,85763.0,72040.0
24500,0.6122203579418345,Management occupations,,21893.0,35760.0
45540,0.32321499800558434,Management occupations,,8103.0,25070.0
46700,0.7869399798120972,Management occupations,,101350.0,128790.0
72104,0.9471940071102082,Management occupations,,74601.0,78760.0
35100,0.8171114232209737,Management occupations,,34907.0,42720.0
43620,1.0986672024646709,Management occupations,,164042.0,149310.0
3100003,1.3106177396591032,"Switchboard operators, including answering service",,120721.0,92110.0
46660,0.8491127647395535,Management occupations,,44502.0,52410.0
48620,1.331167081958381,Management occupations,,395330.0,296980.0
48540,0.6784219773199169,Management occupations,,42476.0,62610.0
14010,0.696679991117033,Management occupations,,62743.0,90060.0
26300,0.6737422272470323,Management occupations,,23837.0,35380.0
15260,0.5881820467689213,Management occupations,,23392.0,39770.0
35084,0.9312858906936781,Management occupations,,1078457.0,1158030.0
27180,1.0783910929904343,Management occupations,,68769.0,63770.0
44700,1.4339799859550562,Management occupations,,326718.0,227840.0
27740,0.7538648579472741,Management occupations,,58907.0,78140.0
28940,1.0679710182835918,Management occupations,,408296.0,382310.0
23060,1.4840339702760086,Management occupations,,314541.0,211950.0
42140,0.5673310646572679,Management occupations,,35010.0,61710.0
48424,0.7226534801268893,Management occupations,,425997.0,589490.0
4000004,1.2685607410046313,"Switchboard operators, including answering service",,213651.0,168420.0
41060,1.1084203336910918,Management occupations,,113602.0,102490.0
10500,0.629984544049459,Management occupations,,36684.0,58230.0
30980,0.9475201002401588,Management occupations,,90744.0,95770.0
32820,0.9374843714936043,Management occupations,,584859.0,623860.0
29340,0.7223794651571345,Management occupations,,74015.0,102460.0
26580,0.8442732957145036,Management occupations,,110718.0,131140.0
