MSA,31-0000,25-0000,51-0000,11-0000,21-0000,19-0000,49-0000,29-0000,45-0000,53-0000,15-0000,41-0000,17-0000,33-0000,39-0000,23-0000,37-0000,27-0000,43-0000,47-0000,35-0000,13-0000
41420,5450.0,10350.0,8570.0,8860.0,4240.0,1390.0,5130.0,9410.0,3210.0,10160.0,3130.0,15830.0,1310.0,3410.0,7310.0,1560.0,4970.0,1420.0,24270.0,7230.0,14380.0,9020.0
25620,2030.0,4520.0,2760.0,3050.0,660.0,130.0,2770.0,5260.0,150.0,4060.0,450.0,6610.0,400.0,1160.0,1460.0,260.0,1580.0,360.0,11230.0,2140.0,6600.0,1610.0
32900,1800.0,8400.0,5190.0,2650.0,1410.0,720.0,2370.0,2830.0,4740.0,5700.0,680.0,5940.0,290.0,1410.0,1250.0,190.0,1940.0,340.0,8610.0,1490.0,5740.0,1870.0
16740,29970.0,56780.0,83860.0,60520.0,11150.0,5330.0,48080.0,60800.0,1660.0,92310.0,43500.0,133910.0,17600.0,27410.0,29500.0,7710.0,30610.0,13710.0,178480.0,44390.0,103640.0,79940.0
18700,1180.0,3190.0,1330.0,1790.0,660.0,1220.0,850.0,2430.0,270.0,1020.0,1510.0,2540.0,870.0,**,1350.0,**,1190.0,460.0,4360.0,830.0,3880.0,1330.0
49740,1330.0,3900.0,1690.0,2570.0,800.0,400.0,2810.0,3100.0,9010.0,2580.0,580.0,6350.0,1230.0,3160.0,1490.0,220.0,1910.0,270.0,8260.0,1940.0,5180.0,1850.0
15260,1110.0,2360.0,1510.0,2210.0,420.0,130.0,1740.0,2340.0,120.0,2720.0,570.0,4260.0,230.0,1270.0,750.0,310.0,2080.0,770.0,5400.0,1350.0,6460.0,1670.0
25060,3390.0,8200.0,11210.0,7520.0,1700.0,1350.0,6940.0,9720.0,110.0,7670.0,2410.0,14540.0,3320.0,5170.0,5160.0,720.0,5630.0,760.0,20960.0,9500.0,18310.0,5340.0
47460,1120.0,2080.0,2420.0,1000.0,430.0,410.0,1010.0,1670.0,210.0,900.0,240.0,2140.0,710.0,1010.0,600.0,120.0,890.0,280.0,3550.0,740.0,2160.0,1220.0
16580,2780.0,12260.0,5230.0,5910.0,1470.0,1060.0,3280.0,6390.0,240.0,5150.0,2280.0,8880.0,1300.0,1850.0,2190.0,,3330.0,970.0,16020.0,2960.0,9950.0,3830.0
12940,10250.0,20800.0,25090.0,18040.0,4780.0,3590.0,19500.0,22910.0,340.0,29710.0,5910.0,38420.0,8800.0,11530.0,13430.0,2650.0,11790.0,4470.0,53650.0,39390.0,34180.0,16740.0
16620,3280.0,4900.0,4300.0,5400.0,1930.0,1350.0,6150.0,10020.0,70.0,6860.0,2490.0,10790.0,1710.0,3640.0,3210.0,1800.0,3500.0,1190.0,21560.0,5680.0,8780.0,5200.0
17820,7190.0,18350.0,8580.0,10970.0,4680.0,1710.0,9430.0,15840.0,450.0,11560.0,14430.0,31790.0,7280.0,6120.0,8930.0,1340.0,9380.0,4340.0,39760.0,11840.0,27950.0,17170.0
29404,8320.0,25530.0,30580.0,33760.0,3940.0,3470.0,13320.0,20620.0,180.0,33420.0,14640.0,42670.0,7190.0,5080.0,12140.0,1640.0,15430.0,4250.0,57840.0,10540.0,32500.0,23590.0
45940,7300.0,17910.0,5030.0,13590.0,5200.0,5320.0,5900.0,11800.0,120.0,12460.0,12540.0,18770.0,3800.0,7660.0,4770.0,2840.0,6740.0,3660.0,39240.0,4580.0,14300.0,22420.0
42540,9590.0,13880.0,21550.0,7950.0,4880.0,1300.0,9930.0,17400.0,130.0,29160.0,4310.0,23550.0,3650.0,5460.0,8360.0,1290.0,8210.0,2140.0,44230.0,8800.0,21860.0,9030.0
41980,7050.0,44520.0,37120.0,31730.0,12800.0,4980.0,22390.0,37680.0,1110.0,32070.0,8650.0,80550.0,9430.0,48430.0,12580.0,4000.0,29490.0,6600.0,130740.0,21620.0,51990.0,36220.0
44420,1360.0,3160.0,4700.0,1460.0,730.0,300.0,2100.0,2980.0,170.0,5590.0,960.0,4740.0,520.0,1120.0,1330.0,160.0,1710.0,570.0,6390.0,2050.0,4260.0,1380.0
27340,1310.0,3790.0,1110.0,1230.0,500.0,270.0,1720.0,2110.0,,2600.0,450.0,6240.0,310.0,1170.0,1190.0,230.0,1720.0,240.0,8000.0,2030.0,7420.0,1520.0
46340,4510.0,6220.0,5180.0,2930.0,1230.0,480.0,3570.0,9840.0,80.0,6770.0,1250.0,10920.0,1380.0,1870.0,4290.0,860.0,3370.0,840.0,16130.0,3940.0,10110.0,3370.0
